Column,Attribute,attributeOf,Format,Unit,Time,Entity,Role,Relation,inRelationTo,NewConcept,wasDerivedFrom,wasGeneratedBy,Label,Definition,hasPosition,Comment,Note
TARGET USI,sio:Identifier,??subject,,,,,,,,,,,TARGET USI,,,,
Gender,sio:BiologicalSex,??subject,,,,,,,,,,,Gender,,,,
Race,sio:Race,??subject,,,,,,,,,,,Race,,,,
Ethnicity,sio:Ethnicity,??subject,,,,,,,,,,,Ethnicity,,,,
Age at Diagnosis in Days,sio:Age,??subject,,sio:Day,??diagnosis,,,,,,,,Age at Diagnosis in Days,,,,
First Event,ncit:C25499,??subject,,,??first,,,,,,,,First Event,,,,
Time to First Event in Days,sio:TimeInterval,??first_event,,sio:Day,,,,,,,,,Time to First Event in Days,,,,
Vital Status ,sio:LifeStatus,??subject,,,,,,,,,,,Vital Status ,,,,
Overall Survival Time in Days,sio:TimeInterval,??survival,,sio:Day,,,,,,,,,Overall Survival Time in Days,,,,need to address derivation so it’s not just a string
Year of Diagnosis,sio:TimeInstant,??diagnosis,YYYY^^xsd:gYear,sio:Year,,,,,,,,,Year of Diagnosis,,,,
Year of Last Follow Up,sio:TimeInstant,??last_follow_up,YYYY^^xsd:gYear,sio:Year,,,,,,,,,Year of Last Follow Up,,,,
Protocol,sio:ExperimentalProtocol,??subject,,,,,,,,,,,Protocol,,,,
Disease at diagnosis,sio:Disease,??subject,,,??diagnosis,,,,,,,,Disease at diagnosis,,,,
Metastasis site,sio:Site,??metastasis,,,,,,,,,,,Metastasis site,,,,
Primary tumor site,sio:Site,??primary_tumor,,,,,,,,,,,Primary tumor site,,,,
Specific tumor site,sio:Site,??tumor,,,,,,,,,,,Specific tumor site,,,,
Specific tumor side,ncit:C25306,??tumor,,,,,,,,,,,Specific tumor side,,,,
Specific tumor region,sio:SpatialRegion,??tumor,,,,,,,,,,,Specific tumor region,,,,
Definitive Surgery,oae:0000067,??subject,,,,,,,,,,,Definitive Surgery,,,,ncit:C15329
Primary site progression,ncit:C45254,??primary_tumor,,,,,,,,,,,Primary site progression,,,,
Site of initial relapse,sio:Site,??first_relapse,,,,,,,,,,,Site of initial relapse,,,,
Time to first relapse in days,sio:TimeInterval,??first_relapse,,,,,,,,,,,Time to first relapse in days,,,,
Time to first enrollment on relapse protocol in days,sio:TimeInterval,??first_enrollment,,,,,,,,,,,Time to first enrollment on relapse protocol in days,,,,
Time to first SMN in days,sio:TimeInterval,??first_SMN,,,,,,,,,,,Time to first SMN in days,,,,
Time to death in days,sio:TimeInterval,??death,,,,,,,,,,,Time to death in days,,,,
Histologic response,ncit:C38013,??subject,,,,,,,,,,,Histologic response,,,,
Percent necrosis,ncit:C16897,??primary_tumor,,uo:0000187,,,,,,,,,Percent necrosis,,,,
Relapse Type,ncit:C38155,??subject,,,,,,,,,,,Relapse Type,,,,
Therapy,ncit:C49236,??subject,,,,,,,,,,,Therapy,,,,
Comment,sio:Comment,??subject,,,,,,,,,,,Comment,,,,
??subject,,,,,,sio:Human,sio:SubjectRole,,??study,,,,,,,,
??diagnosis,,,,,,sio:Diagnosis,,,??subject,,,,,,,,
??last_follow_up,,,,,??last,ncit:C16033,,,??subject,,,,,,,,
??metastasis,,,,,,ncit:C19151,,,??subject,,,,,,,,
??tumor,,,,,,"hp:0002664, ncit:C3262",,sio:isPartOf,??subject,,,,,,,,
??primary_tumor,,,,,,ncit:C8509,,sio:isPartOf,??subject,,,,,,,,
??first,,,,,,ncit:C25509,,,,,,,,,,,
??survival,,,,,,ncit:C17177,,,??subject,,,,,,,,
??first_relapse,,,,,??first,ncit:C38155,,,??subject,,,,,,,,
??first_enrollment,,,,,??first,ncit:C37948,,,??subject,,,,,,,,
??first_SMN,,,,,??first,ncit:C114435,,,??subject,,,,,,,,
??death,,,,,,ncit:C28554,,,??subject,,,,,,,,
??study,,,,,,hasco:Study,,,,,,,,,,,
??last,,,,,,ncit:C25551,,,,,,,,,,,
??first_event,,,,,??first,ncit:C25499,,,??subject,,,,,,,,ncit:C15329
