Column,Code,Class,Label
Chromosome,1,ncit:C13204,Chromosome 1
Chromosome,2,ncit:C13215,Chromosome 2
Chromosome,3,ncit:C13219,Chromosome 3
Chromosome,4,ncit:C13220,Chromosome 4
Chromosome,5,ncit:C13221,Chromosome 5
Chromosome,6,ncit:C13222,Chromosome 6
Chromosome,7,ncit:C13223,Chromosome 7
Chromosome,8,ncit:C13224,Chromosome 8
Chromosome,9,ncit:C13225,Chromosome 9
Chromosome,10,ncit:C13205,Chromosome 10
Chromosome,11,ncit:C13206,Chromosome 11
Chromosome,12,ncit:C13207,Chromosome 12
Chromosome,13,ncit:C13208,Chromosome 13
Chromosome,14,ncit:C13209,Chromosome 14
Chromosome,15,ncit:C13210,Chromosome 15
Chromosome,16,ncit:C13211,Chromosome 16
Chromosome,17,ncit:C13212,Chromosome 17
Chromosome,18,ncit:C13213,Chromosome 18
Chromosome,19,ncit:C13214,Chromosome 19
Chromosome,20,ncit:C13216,Chromosome 20
Chromosome,21,ncit:C13217,Chromosome 21
Chromosome,22,ncit:C13218,Chromosome 22
Chromosome,X,ncit:C13285,Chromosome X
Chromosome,Y,ncit:C13286,Chromosome Y
