Column,Attribute,attributeOf,Format,Unit,Time,Entity,Role,Relation,inRelationTo,NewConcept,wasDerivedFrom,wasGeneratedBy,Label,Definition,hasPosition,Comment
Composite Element REF,sio:Identifier,??composite_element,,,,,,,,,,,Composite Element REF,,,
Beta_value,uo:0000190,??composite_element,,,,,,,,,,,Beta Value,,,
Chromosome,ncit:C13203,??composite_element,,,,,,,,,,,Chromosome,,,
Start,sio:Coordinate,??chromosome_start_position,,,,,,,??composite_element,,,,Start,,,
End,sio:Coordinate,??chromosome_end_position,,,,,,,??composite_element,,,,End,,,
Gene_Symbol,sio:Symbol,??gene_symbol,,,,,,,,,,,Gene Symbol,,,
Gene_Type,ogg:0000000003,??gene_symbol,,,,,,,,,,,Gene Type,,,
Transcript_ID,go:0005669,??gene_symbol,,,,,,,,,,,Transcript_ID,,,
Position_to_TSS,go:0051303,??gene_symbol,,uo:0000244,,,,,,,,,Position to TSS,,,
CGI_Coordinate,ncit:C44465,??composite_element,,,,,,,,,,,CGI Coordinate,,,
Feature_Type,"mi:0116, ncit:C73619",??composite_element,,,,,,,,,,,Feature Type,,,
??composite_element,,,,,,ncit:C54668,,,,,,,Composite Element,,,
??chromosome_start_position,,,,,,ncit:C25431,,,go:ChromosomePositioning,,,,Chromosome start position,,,
??chromosome_end_position,,,,,,ncit:C25496,,,go:ChromosomePositioning,,,,Chromosome end position,,,
??gene_symbol,,,,,,ncit:C43568,,sio:isPartOf,??composite_element,,,,Gene Symbol,,,
